price_main,title,rooms,area,floor,building_type,materials,year,district
1915000 грн,"вул. Васильківська, 49",2 кімнати,40 / 20 / 2 м²,поверх 1 з 5,хрущівка,панельні,1961,Голосіїво
4078950 грн,"вул. Бурмистенка, 9/10",3 кімнати,76 / 52 / 9 м²,поверх 3 з 5,сталінка,цегляний будинок,1960,Голосіїво
4787500 грн,"вул. Ломоносова, 36а",3 кімнати,82 / 29.6 / 25 м²,поверх 24 з 25,спец. проект,панельні,2015,Голосіїво
4239330 грн,"вул. Максимовича, 32а",2 кімнати,74 / 35.34 / 17.27 м²,поверх 18 з 22,спец. проект,монолітно-каркасний,2021,Голосіїво
3025700 грн,"вул. Максимовича, 28б",1 кімната,38 / 15 / 7 м²,поверх 8 з 16,спец. проект,панельні,2018,Голосіїво
5344000 грн,"вул. Максимовича, 32а",3 кімнати,102 / 55.44 / 18.88 м²,поверх 15 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
6319500 грн,"вул. Максимовича, 28б",2 кімнати,61 / 36 / 19 м²,поверх 17 з 19,спец. проект,панельні,2018,Голосіїво
3255500 грн,вул. Максимовича,1 кімната,50.9 / 15.3 / 16.6 м²,поверх 13 з 21,спец. проект,панельні,2021,Голосіїво
4021500 грн,"вул. Максимовича, 26",2 кімнати,60 / 27 / 16.4 м²,поверх 18 з 18,спец. проект,цегляний будинок,2018,Голосіїво
1723500 грн,"вул. Ломоносова, 36в",1 кімната,25.2 / 12 / 5 м²,поверх 25 з 25,спец. проект,панельні,2018,Голосіїво
2757600 грн,"вул. Максимовича, 32а",1 кімната,51.8 / 19 / 17.7 м²,поверх 23 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
2144800 грн,"вул. Бурмистенка, 3",2 кімнати,47 / 30 / 8 м²,поверх 2 з 5,хрущівка,цегляний будинок,1966,Голосіїво
5400300 грн,"вул. Максимовича, 9в",3 кімнати,87 / 47 / 14 м²,поверх 2 з 16,серія КТ,утеплена панель,2013,Голосіїво
2604400 грн,"вул. Потєхіна, 8",3 кімнати,56.7 / 38.2 / 6.1 м²,поверх 5 з 5,хрущівка,цегляний будинок,1961,Голосіїво
8119600 грн,"Сільськогосподарський пров., 1",4 кімнати,120 / 78 / 7 м²,поверх 4 з 4,сталінка,цегляний будинок,1938,Голосіїво
3676800 грн,"просп. Науки, 42/1К11",3 кімнати,75 / 50 / 9 м²,поверх 4 з 4,сталінка,цегляний будинок,1958,Голосіїво
7660000 грн,"вул. Володі Дубініна, 2а",3 кімнати,130 / 60 / 30 м²,поверх 25 з 26,спец. проект,монолітно-каркасний,2018,Голосіїво
7085500 грн,"вул. Васильківська, 100а",3 кімнати,65 / 30 / 10 м²,поверх 15 з 25,спец. проект,цегляний будинок,2019,Голосіїво
4596000 грн,вул. Максимовича,1 кімната,42 / 30 / 11 м²,поверх 5 з 18,спец. проект,панельні,2021,Голосіїво
